Name,SKU,Original Price,Discount Price,Description,Image URL,Sizes,Colors,URL
Florell Box T W 1809051,Florell Box T W 1809051,"2,490.00ден","2,490.00ден",Маица изработена од памук,https://www.scout.mk/wp-content/uploads/2023/07/1809051_1282_A020-600x600.png,"['s', 'xs']","['blue', 'blue']",https://www.scout.mk/product/florell-box-t-w-1809051/
FLOREO IV,FLOREO IV,"3,090.00ден","3,090.00ден",Женски спортски флис поларен,https://www.scout.mk/wp-content/uploads/2025/02/RWA528-61I.jpg,"['10', '10', '10', '10', '10', '10', '12', '12', '12', '12', '14', '14', '14', '14', '14', '14', '16', '16', '18', '18', '20', '8', '8', '8']","['bordeaux', 'bordeaux', 'bordeaux', 'bordeaux', 'bordeaux', 'grey', 'grey', 'grey', 'grey', 'navy', 'navy', 'navy', 'navy', 'navy', 'pink', 'pink', 'sky', 'sky', 'sky', 'white', 'white', 'white', 'white', 'white']",https://www.scout.mk/product/floreo-iv/
Fox Boxy Logo Tee F87153,Fox Boxy Logo Tee F87153,"3,090.00ден",,Удобна маица изработена од мешавина на органски памук/рециклиран полиестер и лого на предната страна.,https://www.scout.mk/wp-content/uploads/2024/03/Fox_Boxy_Logo_Tee_W_87153-620_A_MAIN_FJR-6-600x600.png,"['l', 'm']","['green', 'green']",https://www.scout.mk/product/fox-boxy-logo-tee-f87153/
FRITHA II,Fritha II RWN219,"7,490.00ден",,"Градска јакна, термогард изолација",https://www.scout.mk/wp-content/uploads/2022/10/RWN219_MWM_P_1-600x600.jpg,['10'],['red'],https://www.scout.mk/product/fritha-ii-rwn219/
GEO SSHELL TRS II,Geo SShell Trs II RWJ113R,"5,190.00ден",,"Софтшел Панталони
Дишливост 10.000 g/m²/24 часа
Водоотпорна и ветроотпорна мембрана, издржлив водоотпорен финиш.
Еластичен струк и повеќе џебови.",https://www.scout.mk/wp-content/uploads/2022/10/RWJ113R_800_P_3-600x600.jpg,"['14', '16']","['black', 'black']",https://www.scout.mk/product/geo-sshell-trs-ii-rwj113r/
GLAABACH 3IN1 JKT W,GLAABACH 3IN1 JKT W,"15,390.00ден","15,390.00ден",Женска хибридна јакна 3 во 1,https://www.scout.mk/wp-content/uploads/2025/02/A61887.jpg,"['l', 'xl']","['grey', 'grey']",https://www.scout.mk/product/glaabach-3in1-jkt-w/
Go Hike Jacket W 1113972,Go Hike Jacket W 1113972,"12,990.00ден",,"Хардшел Jакна
Водоотпорна и ветероотпорна
Водоотпорност: 20.000 mm
Дишливост: 15.000 > g/m²/24h",https://www.scout.mk/wp-content/uploads/2023/05/1113972_1283_A020.tif-600x600.png,"['l', 's']","['turquoise', 'turquoise']",https://www.scout.mk/product/go-hike-jacket-w-1113972/
Go Hike Softshell W 1306862,Go Hike Softshell W 1306862,"9,590.00ден",,"Софтшел Јакна со капуљача
Водоодбивна и ветероодбивна
Изработена од средно дебел софтшел материјал",https://www.scout.mk/wp-content/uploads/2023/05/1306862_1281_A020.tif-600x600.png,"['l', 'l', 's', 's']","['blue', 'blue', 'orange', 'orange']",https://www.scout.mk/product/go-hike-softshell-w-1306862/
Go Hike W 1306861,Go Hike W 1306861,"7,590.00ден",,"Софтшел Јакна со капуљача
Водоодбивна и ветероодбивна
Изработена од многу дишлив и лесен стреч материјал",https://www.scout.mk/wp-content/uploads/2022/05/1306861_2178_A020-2-600x600.jpg,"['m', 'm']","['pink', 'red']",https://www.scout.mk/product/go-hike-w-1306861/
Granite Ts Ss W MIV9763,Granite Ts Ss W MIV9763,,,"Функционална Маица
Изработена од многу лесен материјал кој не развива миризба при потење 65% полиестер 35% вискоза",https://www.scout.mk/wp-content/uploads/2023/03/MIV9763_8743_C3E_0.webp-600x600.png,[],[],https://www.scout.mk/product/granite-ts-ss-w-miv9763/
Hazy Mtn Ts W MIV9077,Hazy Mtn Ts W MIV9077,"2,290.00ден","2,290.00ден","Функционална Маица
Изработена од многу лесен материјал кој не развива миризба при потење
100% полиестер",https://www.scout.mk/wp-content/uploads/2021/05/MIV9077-8737-600x600.jpg,"['m', 's']","['orange', 'orange']",https://www.scout.mk/product/hazy-mtn-ts-w-miv9077/
Helags Cap F77357,Helags Cap F77357,,,Класична капа одо G-1000 материјал. Со отвор за вентилација и кожно лого Fjällräven напред.,https://www.scout.mk/wp-content/uploads/2023/12/Helags_Cap_77357-520_A_MAIN_FJR-2-600x600.png,[],[],https://www.scout.mk/product/helags-cap-f77357/
High Coast Lite Dress F83502,High Coast Lite Dress F83502,"7,490.00ден",,Лесен летен фустан за топла клима.,https://www.scout.mk/wp-content/uploads/2024/03/High_Coast_Lite_Dress_W_83502-560_A_MAIN_FJR-6-600x600.png,['s'],['green'],https://www.scout.mk/product/high-coast-lite-dress-f83502/
High Coast Lite Shorts F89431,High Coast Lite Shorts F89431,"6,190.00ден",,Лесни и растегливи кратки панталони кои брзо се сушат за секојдневна употреба и патување во топла клима.,https://www.scout.mk/wp-content/uploads/2024/03/High_Coast_Lite_Shorts_W_89431-018_A_MAIN_FJR-3-600x600.png,"['36', '36', '38', '38', '40', '40']","['green', 'green', 'green', 'grey', 'grey', 'grey']",https://www.scout.mk/product/high-coast-lite-shorts-f89431/
HIGHLOFT GLOVE WOMEN A63073,HIGHLOFT GLOVE WOMEN A63073,"2,990.00ден","2,990.00ден",Топли софтшел ракавици кои не пропуштаат ветер и вода,https://www.scout.mk/wp-content/uploads/2024/11/A63073-6000-600x865.jpg,"['l', 'm', 'm', 's', 's']","['black', 'black', 'navy', 'navy', 'navy']",https://www.scout.mk/product/highloft-glove-women-a63073/
Highloft Knit Mitten 1908001,Highloft Knititten 1908001,"2,590.00ден","2,590.00ден",Ракавици плетени со ситетичко крзно,https://www.scout.mk/wp-content/uploads/2020/11/1908001-1910-600x600.png,"['m', 's']","['navy', 'navy']",https://www.scout.mk/product/highloft-knititten-1908001/
Innominata Light ML Jacket Women 1014-04480,Innominata Light ML Jacket Women 1014-04480,"6,290.00ден","6,290.00ден","Флис,Изработен од стреч материјал со лесна до средна топлотна изолацијаДишлив и отпорен на триење погоден за различни активност",https://www.scout.mk/wp-content/uploads/2023/12/1014-04480-6429-600x600.jpg,['l'],['violet'],https://www.scout.mk/product/innominata-light-ml-jacket-women-1014-04480/
Kiruna Jacket W 1704513,Kiruna Jacket W 1704513,"4,990.00ден","4,990.00ден","Флис
Високо дишлив и топол полар",https://www.scout.mk/wp-content/uploads/2023/07/1704513_1010_A020-600x600.png,"['l', 'xl']","['navy', 'navy']",https://www.scout.mk/product/kiruna-jacket-w-1704513/
Lapiaz Pant W MIV9620,Lapiaz Pant W MIV9620,"7,790.00ден","7,790.00ден",ПанталониТопли и растегливи идеални за поладни условиВодоодбивни и отпорни на триење,https://www.scout.mk/wp-content/uploads/2022/11/MIV9620-0247-600x600.jpg,"['40', '42']","['navy', 'navy']",https://www.scout.mk/product/lapiaz-pant-w-miv9620/
LARAINE,LARAINE,"3,190.00ден",,"Материјал:
R-TEX
PrimaLoft
Флис
Микрофибер
Карактеристики:
Touch Tec",https://www.scout.mk/wp-content/uploads/2022/12/6035222-6000-600x600.jpg,"['7', '7-5']","['black', 'black']",https://www.scout.mk/product/laraine/
LEGITIMATE,Legitimate DWJ475,"2,790.00ден","2,790.00ден",Лесни брзосужечки хеланки,https://www.scout.mk/wp-content/uploads/2023/05/DWJ475_R73_P_1-600x600.jpg,['8'],['navy'],https://www.scout.mk/product/legitimate-dwj475/
Lokka Hdi Iii W MIV9720,Lokka Hdi Iii W MIV9720,,,"Флис
Изработен од стреч материјал Лесен, тенок и дишлив погоден за секаква активност",https://www.scout.mk/wp-content/uploads/2023/03/MIV9720_8743_C3E_0.webp-600x600.png,['s'],['pink'],https://www.scout.mk/product/lokka-hdi-iii-w-miv9720/
LOREDANA,LOREDANA,"2,990.00ден",,"Материјал:
PrimaLoft® Gold
Карактеристики:
TOUCH-TEC
Силиконски грип",https://www.scout.mk/wp-content/uploads/2022/12/4935198-4509-600x600.jpg,"['6-5', '7-5']","['black', 'black']",https://www.scout.mk/product/loredana/
Magma Sh Hd W MIV9589,Magma Sh Hd W MIV9589,"11,590.00ден","11,590.00ден","Софтшел јакнаВодоотпорна: 5 000 mm, ветроодбивна и дишлива: 3 000 g/m²/24h од растеглив материјал",https://www.scout.mk/wp-content/uploads/2023/12/MIV9589-9845-600x600.png,"['l', 's']","['sky', 'sky']",https://www.scout.mk/product/magma-sh-hd-w-miv9589/
Mammut Core T-Shirt Women Logo 1017-03902,Mammut Core T-Shirt Women Logo 1017-03902,"2,590.00ден","2,590.00ден","Лесна, тенка и удобна маица 50% органски памук 50% полиестер",https://www.scout.mk/wp-content/uploads/2023/12/1017-03902-6429-600x600.jpg,['l'],['violet'],https://www.scout.mk/product/mammut-core-t-shirt-women-logo-1017-03902/
MayseHoody W RWA645,MayseHoody W RWA645,,,Флис,https://www.scout.mk/wp-content/uploads/2024/12/RWA645-0R2-600x600.jpg,[],[],https://www.scout.mk/product/maysehoody-w-rwa645/
MOVE,Move DWJ555R,,,"Мултифункционални Хеланки
Изработени од многу лесен и растеглив материал, кој не развива миризба при потење",https://www.scout.mk/wp-content/uploads/2023/05/DWJ555_QFI_P_2-600x600.jpg,[],[],https://www.scout.mk/product/move-dwj555r/
Multisport Sock Wmn 3I63466,Multisport Sock Wmn 3I63466,790.00ден,,Мултифункционални чорапи,https://www.scout.mk/wp-content/uploads/2022/07/3I63466_19HL_A-600x600.jpg,['36-38'],['pink'],https://www.scout.mk/product/multisport-sock-wmn-3i63466/
Nature T-shirt F84787,Nature T-shirt F84787,,,Маичка изработена од органски памук за релаксиран живот на отворено во лето.,https://www.scout.mk/wp-content/uploads/2024/03/Nature_T-shirt_W_84787-516_A_MAIN_FJR-6-600x600.png,"['l', 'm']","['green', 'green']",https://www.scout.mk/product/nature-t-shirt-f84787/
NORD GRAPHIC HOODIE W,Nord Graphic Pullover Hoodie W 62981,"4,690.00ден","4,690.00ден","Дуксер со капа
80% памук 20% полиестер",https://www.scout.mk/wp-content/uploads/2022/11/62981_406-600x600.jpg,['l'],['green'],https://www.scout.mk/product/nord-graphic-pullover-hoodie-w-62981/
NORDLICHT COAT W A60038,NORDLICHT COAT W A60038,,,Долга парка со полнење од пердуви,https://www.scout.mk/wp-content/uploads/2024/11/A60038-C0413-600x865.jpg,[],[],https://www.scout.mk/product/nordlicht-coat-w-a60038/
Nurie W RWN319,Nurie W RWN319,,,Јакна,https://www.scout.mk/wp-content/uploads/2024/12/RWN319-800.jpg,[],[],https://www.scout.mk/product/nurie-w-rwn319/
Pacer T-Shirt Q55,Pacer T-Shirt Q55,"3,690.00ден",,"Мултифункционална стреч маица, дишлива и лесна изработена од полиестер",https://www.scout.mk/wp-content/uploads/2024/03/Q55323322-600x600.jpg,['m'],['red'],https://www.scout.mk/product/pacer-t-shirt-q55/
PACER TANK W,PACER TANK W,"3,090.00ден",,"Лесна маичка, мека на кожата со Polygiene® за повеќе да се носи и помалку да се мие.",https://www.scout.mk/wp-content/uploads/2025/04/Q54645643.jpeg,"['l', 'm', 's']","['blue', 'blue', 'blue']",https://www.scout.mk/product/pacer-tank-w/
PACK IT JKT III W,PACK IT JKT III W RWW305,"2,990.00ден",,"Хардшел Jакна
Водоотпорна и ветероотпорна
Водоотпорност: 5.000 mm
Дишливост: 5.000 > g/m²/24h
Непоставена",https://www.scout.mk/wp-content/uploads/2024/08/RWW305-25810-600x600.jpg,"['10', '12', '16', '16', '18']","['turquoise', 'turquoise', 'violet', 'violet', 'violet']",https://www.scout.mk/product/pack-it-jkt-iii-w-rww305/
Parana Pants W 1111861,Parana Pants W 1111861,"10,590.00ден","10,590.00ден","Полнети Хардшел Панталони
Екстра топлотна изолација
Водоотпорност: 20.000mm
Дишливост: 15.000 g/m²/24h",https://www.scout.mk/wp-content/uploads/2022/10/1111861_1388_A160-600x600.png,"['34', '38']","['grey', 'grey']",https://www.scout.mk/product/parana-pants-w-1111861/
Park Avenue Jacket 1107743,Park Avenue Jacket 1107743,"14,990.00ден","14,990.00ден","Јакна
Водоотпорна и ветероотпорна
Водоотпорност: 10.000 mm
Дишливост: 6.000 > g/m²/24h
Робусна и добро поставена и полнета со синтетичко полнење",https://www.scout.mk/wp-content/uploads/2022/10/1107743_1010_A020-600x600.png,"['m', 'm']","['black', 'green']",https://www.scout.mk/product/park-avenue-jacket-1107743/
PEDROC 3 W,Pedroc 3 Dst W 26956,"7,190.00ден",,"Функционална Панталони
Изработени од многу лесен и растеглив софтшел материал, кој е водообивен и издржлив на абразија и не развива миризба при потење",https://www.scout.mk/wp-content/uploads/2021/04/26956-311-600x600.jpg,"['34', '36']","['black', 'black']",https://www.scout.mk/product/pedroc-3-dst-w-26956/
PEDROC 4 PANTS W,Pedroc 4 Dst W Reg Pants 28594,"7,790.00ден",,"Функционална Панталони
Изработени од многу лесен и растеглив софтшел материал, кој е водообивен и издржлив на абразија и не развива миризба при потење",https://www.scout.mk/wp-content/uploads/2023/05/28594-910-600x600.png,"['34', '36', '38']","['black', 'black', 'black']",https://www.scout.mk/product/pedroc-4-dst-w-reg-pants-28594/
Pocketshell Jkt Q57,Pocketshell Jkt Q57,"11,390.00ден",,Лесна заштита за сите временски услови лесно се пакува штити од ветар и лесен дожд,https://www.scout.mk/wp-content/uploads/2024/03/Q57638638-600x600.jpg,"['l', 'm', 's']","['turquoise', 'turquoise', 'turquoise']",https://www.scout.mk/product/pocketshell-jkt-q57/
PUEZ AQUA 3 PTX W,Puez Aqua 3 Ptx W Jkt 24546,"6,690.00ден",,"Хардшел Jакна
Водоотпорна и ветероотпорна
Водоотпорност: 10.000 mm
Дишливост: 10.000 > g/m²/24h",https://www.scout.mk/wp-content/uploads/2021/04/24546-1832-600x600.jpg,['42'],['red'],https://www.scout.mk/product/puez-aqua-3-ptx-w-jkt-24546-2/
