ИМЕ НА МАРКЕТ,НАЗИВ НА ПРОИЗВОД,ПРОДАЖНА ЦЕНА,ЕДИНЕЧНА ЦЕНА,ОПИС НА ПРОИЗВОД,ДОСТАПНОСТ НА ПРОИЗВОД,РЕДОВНА ЦЕНА,ЦЕНА СО ПОПУСТ,ПОЕНИ,ТИП НА АКЦИЈА,ВРЕМЕТРАЊЕ НА АКЦИЈА
vardar,700768 В.У.СЕТ 2 ЈАЈЦА 22Е-83287 Ф1/2 Л1/2 Ц1/2,75.00,1 ПАРЧЕ =75ДЕН,ВЕЛИГДЕНСКИ УКРАСИ,ДА,,,,,
vardar,700774 В.У.СЕТ 2 ЈАЈЦА 22Е-92015 Ф2/2.Њ2/2,89.00,1 ПАРЧЕ =89ДЕН,ВЕЛИГДЕНСКИ УКРАСИ,ДА,,,,,
vardar,700778 ВЕЛ.СВЕЌА ЏГ-СД1,199.00,1 ПАРЧЕ =199ДЕН,ВЕЛИГДЕНСКИ УКРАСИ,ДА,,,,,
vardar,71487 ЛЕГО РОБОТ 20 ВО 1,699.00,1 ПАРЧЕ =699ДЕН,ИГРИ ЗА ГРАДЕЊЕ,ДА,879.00,"699.00
-20.48%",,АКЦИСКА ПРОДАЖБА,15.04.2025 - 05.05.2025
vardar,71827 ЛЕГО ЗЕЈН БОРБЕН КОСТУМ,699.00,1 ПАРЧЕ =699ДЕН,ИГРИ ЗА ГРАДЕЊЕ,ДА,879.00,"699.00
-20.48%",,АКЦИСКА ПРОДАЖБА,15.04.2025 - 05.05.2025
vardar,755 ПУКАНКИ ДАУТИ 400ГР,46.00,100 ГР: =11.5ДЕН,ПУКАНКИ,ДА,,,,,
vardar,8134 ЦЕНТИ ТОП МОП(ЏОГЕР)ТЕЛЕСКОПСКА РАЧКА+РЕФИЛ,715.00,1 ПАРЧЕ = 715ДЕН,ЏОГЕР-МОП,ДА,,,,,
vardar,9308 ВАКУМ КЕСА ЈОРК 100X80X32ЦМ,319.00,1 ПАРЧЕ = 319ДЕН,ВАКУМ ЌЕСА,ДА,,,,,
vardar,AVAKS ПАСТА ЗА РАЦЕ 500 МЛ,99.00,100 МЛ: =19.8ДЕН,ПАСТА ЗА РАЦЕ,ДА,,,,,
vardar,AРИЕЛ ПОДС(КАПСУЛИ) КОЛОР 58/1,999.00,1 ПАРЧЕ =17.22ДЕН,КАПСУЛИ ЗА МАШИНСКО ПЕРЕЊЕ АЛИШТА,ДА,1335.00,"999.00
-25.17%",,АКЦИСКА ПРОДАЖБА,24.04.2025 - 14.05.2025
vardar,BLACKOUT ЗАВЕСА ЗА СОНЦЕ 145X230/250 ЦМ,299.00,1 ПАРЧЕ =299ДЕН,ЗАВЕСИ,ДА,,,,,
vardar,BOROTALKO DEO SPRAY SOFT 150ML,249.00,100 МЛ: =166ДЕН,ДЕО СПРЕЈ,ДА,,,,,
vardar,BUGS RACING СТАЗА СО ДВА АВТОМОБИЛА,1799.00,1 ПАРЧЕ = 1799ДЕН,СЕТ ЗА ИГРАЊЕ,ДА,,,,,
vardar,BИНЧИНИ НАПОЛИТАНКИ ВАФЕРС КАКАО 350ГР,94.00,100 ГР: =26.86ДЕН,НАПОЛИТАНКИ,ДА,,,,,
vardar,DR555-ОСВЕЖУВАЧ ГРАНУЛАТ - ЛАВАНДА,189.00,1 ПАРЧЕ =189ДЕН,ДОДАТОЦИ ЗА ВО АВТОМОБИЛ,ДА,,,,,
vardar,ECO ГОЛЕМА МЕХАНИЧАРСКА РАБОТИЛНИЦА,1769.00,1 ПАРЧЕ = 1769ДЕН,СЕТ ЗА ИГРАЊЕ,ДА,,,,,
